Provider,Model,Metric,Score column,N_total,N_eval,Error count,Nonempty pred,Task success rate,AUROC,Average Precision,Spearman,Note,File
claude,claude-sonnet-4-6,PSNR,psnr,300,300,0,300,0.30333333333333334,0.5005257899994742,0.3054935716417884,0.0008406624299308526,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,SSIM,ssim,300,300,0,300,0.30333333333333334,0.49547820600452186,0.30430872300762485,-0.0072296968974053305,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,Sharpness,sharpness,300,300,0,300,0.30333333333333334,0.4755770545244229,0.32087774580259354,-0.038892302964882164,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,Brightness-quality,brightness_quality,300,300,0,300,0.30333333333333334,0.5492928124507072,0.3536672470767357,0.07849630576873419,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.30333333333333334,0.5782112624217888,0.34143969390932954,0.18808158414899975,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,TCUS-proxy,tcus_proxy,300,300,0,300,0.30333333333333334,0.6084441873915558,0.38315337972497227,0.17269187269121522,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-opus-4-6,PSNR,psnr,300,300,0,300,0.2866666666666667,0.5092099543577483,0.280550998907789,0.014485352501643975,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,SSIM,ssim,300,300,0,300,0.2866666666666667,0.5051890893284069,0.2791569144264623,0.008161363798861353,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,Sharpness,sharpness,300,300,0,300,0.2866666666666667,0.48951314931536627,0.30634792797067206,-0.01642755681105332,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,Brightness-quality,brightness_quality,300,300,0,300,0.2866666666666667,0.5381438817648336,0.35564825861297733,0.059752046017406385,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.2866666666666667,0.5819930449902195,0.32553588802058814,0.1939618270440603,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,TCUS-proxy,tcus_proxy,300,300,0,300,0.2866666666666667,0.6050315148880678,0.3858563560486214,0.16453091873453923,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-7,PSNR,psnr,300,300,0,300,0.67,0.4779134629880899,0.6601395855686543,-0.03612091402292694,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,SSIM,ssim,300,300,0,300,0.67,0.4719332629780391,0.6581602405755264,-0.04590109324642706,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,Sharpness,sharpness,300,300,0,300,0.67,0.5134428865772149,0.6889940836937299,0.02189676419046176,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,Brightness-quality,brightness_quality,300,300,0,300,0.67,0.5222875521382984,0.6960932139106063,0.03630360717184969,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.67,0.6837529524096688,0.7642080331232993,0.4519944379661447,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,TCUS-proxy,tcus_proxy,300,300,0,300,0.67,0.6826473692145334,0.7644449290020896,0.29750949327190007,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-haiku-4-5-20251001,PSNR,psnr,300,300,0,300,0.65,0.5151892551892553,0.6571811000473073,0.025197874688277406,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,SSIM,ssim,300,300,0,300,0.65,0.5084981684981685,0.6552004850844846,0.014097846288618229,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,Sharpness,sharpness,300,300,0,300,0.65,0.507008547008547,0.661154524034155,0.01158008445904434,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,Brightness-quality,brightness_quality,300,300,0,300,0.65,0.5209768009768011,0.6764923779316244,0.034659555924456756,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.65,0.6771672771672772,0.7439115540330115,0.4420573386671741,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,TCUS-proxy,tcus_proxy,300,300,0,300,0.65,0.6744810744810745,0.7435843795712079,0.28829164968596455,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-sonnet-4-5-20250929,PSNR,psnr,300,300,0,300,0.57,0.49823201414388685,0.5729953181285351,-0.003044298086341722,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-sonnet-4-5-20250929,SSIM,ssim,300,300,0,300,0.57,0.4978240174078607,0.5727865808237288,-0.003746828413959042,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
