Provider,Model,Metric,Score column,N_total,N_eval,Error count,Nonempty pred,Task success rate,AUROC,Average Precision,Spearman,Note,File
claude,claude-sonnet-4-6,PSNR,psnr,300,300,0,300,0.3033333333333333,0.5005257899994742,0.3054935716417884,0.0008406624299308,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,SSIM,ssim,300,300,0,300,0.3033333333333333,0.4954782060045218,0.3043087230076248,-0.0072296968974053,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,Sharpness,sharpness,300,300,0,300,0.3033333333333333,0.4755770545244229,0.3208777458025935,-0.0388923029648821,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,Brightness-quality,brightness_quality,300,300,0,300,0.3033333333333333,0.5492928124507072,0.3536672470767357,0.0784963057687341,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.3033333333333333,0.5782112624217888,0.3414396939093295,0.1880815841489997,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-sonnet-4-6,TCUS-proxy,tcus_proxy,300,300,0,300,0.3033333333333333,0.6084441873915558,0.3831533797249722,0.1726918726912152,,results_api_vlm/all_strict300/claude_latest_strong_claude-sonnet-4-6_visdrone300.csv
claude,claude-opus-4-6,PSNR,psnr,300,300,0,300,0.2866666666666667,0.5092099543577483,0.280550998907789,0.0144853525016439,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,SSIM,ssim,300,300,0,300,0.2866666666666667,0.5051890893284069,0.2791569144264623,0.0081613637988613,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,Sharpness,sharpness,300,300,0,300,0.2866666666666667,0.4895131493153662,0.306347927970672,-0.0164275568110533,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,Brightness-quality,brightness_quality,300,300,0,300,0.2866666666666667,0.5381438817648336,0.3556482586129773,0.0597520460174063,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.2866666666666667,0.5819930449902195,0.3255358880205881,0.1939618270440603,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-6,TCUS-proxy,tcus_proxy,300,300,0,300,0.2866666666666667,0.6050315148880678,0.3858563560486214,0.1645309187345392,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-6_visdrone300.csv
claude,claude-opus-4-7,PSNR,psnr,300,300,0,300,0.67,0.4779134629880899,0.6601395855686543,-0.0361209140229269,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,SSIM,ssim,300,300,0,300,0.67,0.4719332629780391,0.6581602405755264,-0.045901093246427,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,Sharpness,sharpness,300,300,0,300,0.67,0.5134428865772149,0.6889940836937299,0.0218967641904617,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,Brightness-quality,brightness_quality,300,300,0,300,0.67,0.5222875521382984,0.6960932139106063,0.0363036071718496,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.67,0.6837529524096688,0.7642080331232993,0.4519944379661447,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-opus-4-7,TCUS-proxy,tcus_proxy,300,300,0,300,0.67,0.6826473692145334,0.7644449290020896,0.2975094932719,,results_api_vlm/all_strict300/claude_latest_strongest_claude-opus-4-7_visdrone300.csv
claude,claude-haiku-4-5-20251001,PSNR,psnr,300,300,0,300,0.65,0.5151892551892553,0.6571811000473073,0.0251978746882774,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,SSIM,ssim,300,300,0,300,0.65,0.5084981684981685,0.6552004850844846,0.0140978462886182,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,Sharpness,sharpness,300,300,0,300,0.65,0.507008547008547,0.661154524034155,0.0115800844590443,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,Brightness-quality,brightness_quality,300,300,0,300,0.65,0.5209768009768011,0.6764923779316244,0.0346595559244567,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.65,0.6771672771672772,0.7439115540330115,0.4420573386671741,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-haiku-4-5-20251001,TCUS-proxy,tcus_proxy,300,300,0,300,0.65,0.6744810744810745,0.7435843795712079,0.2882916496859645,,results_api_vlm/all_strict300/claude_light_claude-haiku-4-5-20251001_visdrone300.csv
claude,claude-sonnet-4-5-20250929,PSNR,psnr,300,300,0,300,0.57,0.4982320141438868,0.5729953181285351,-0.0030442980863417,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-sonnet-4-5-20250929,SSIM,ssim,300,300,0,300,0.57,0.4978240174078607,0.5727865808237288,-0.003746828413959,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-sonnet-4-5-20250929,Sharpness,sharpness,300,300,0,300,0.57,0.4927693911782039,0.5766360900303336,-0.0124005103199531,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-sonnet-4-5-20250929,Brightness-quality,brightness_quality,300,300,0,300,0.57,0.5574142073530078,0.634699552445208,0.0984654941706628,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-sonnet-4-5-20250929,Cognition-Consistency,cognition_consistency_proxy,300,300,0,300,0.57,0.6635386916904664,0.6645770296185809,0.4235420831180563,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-sonnet-4-5-20250929,TCUS-proxy,tcus_proxy,300,300,0,300,0.57,0.6902398114148419,0.6994046932062913,0.3262617025560099,,results_api_vlm/all_strict300/claude_strong_claude-sonnet-4-5-20250929_visdrone300.csv
claude,claude-opus-4-5-20251101,PSNR,psnr,300,300,0,300,0.55,0.5132884399551066,0.565251533388935,0.0229931425972815,,results_api_vlm/all_strict300/claude_strongest_claude-opus-4-5-20251101_visdrone300.csv
